Population,Latitude,Longitude
1,43.651374,-79.405525
2,43.663683,-79.411443
3,43.683698,-79.421095
4,43.704239,-79.4265
5,43.722385,-79.426597
6,43.713711,-79.466545
7,43.70646,-79.486262
8,43.701041,-79.511142
9,43.693306,-79.538379
10,43.686228,-79.561726
11,43.663863,-79.585551
12,43.652785,-79.610406
13,43.641963,-79.631233
14,43.627471,-79.65002
15,43.616903,-79.669317
16,43.61094,-79.688052
17,43.58858,-79.69878
18,43.565262,-79.700181
19,43.546982,-79.720703
20,43.518649,-79.75084
21,43.501561,-79.759063
22,43.479071,-79.761802
23,43.453719,-79.757534
24,43.444847,-79.800063
25,43.432349,-79.829473
26,43.414687,-79.832589
27,43.400155,-79.848595
